Classe,Age,Cle_logbook,Freq_comm_ecrit,Lecture_comm_ecrit,Objectif_commentaire,Texte_objectif_comm_ecrit,Impact_comm_ecrit,Comp_comm_ecrit,Freq_comm_oral,Moment_comm_oral,Comp_comm_oral,Impact_comm_oral,Prof_comm_oral_prive,Gene_comm_oral,Raison_gene_comm_oral,Raison_gene_autre,Pref_ecrit_oral,Pref_ecrit_oral_texte,Pref_freq_oral,Besoin_comm_oral,Besoin_comm_oral_text,Motiv_comm,Motiv_text,Peur,Methodes_travail,Commentaire_libre,Image1,Image2,Créé à
2nde PRO,15-16 ans,Z24T9D,"Oui, souvent","Parfois, ça dépend de la matière ou de la note",Être encouragé(e),,Pas vraiment,"J'essaie de deviner ce que ça veut dire, ""Je laisse tomber, tant pis""",Rarement,"Pendant la correction collective devant toute la classe, Je ne m’en souviens pas",Parfois c'est un peu flou,Pas du tout,Cela dépend du type de commentaire,"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Écrits,Personne peux savoir mes commentaires ,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément",,"Parfois ça m'encourage, parfois ça me décourage",Ne sais pas quoi repondre,"Jamais, j'ose toujours demander","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je refais des exercices, Je fais des fiches de révision, Je me fais aider par une I.A.",,,,
2nde PRO,15-16 ans,,Parfois,"Parfois, ça dépend de la matière ou de la note",Comprendre pourquoi j'ai eu cette note,,Un peu,"Je demande des explications au professeur, Je demande à un camarade",Parfois,"Pendant la correction collective devant toute la classe, Pendant une discussion individuelle (juste avec moi)",Souvent je ne comprends pas bien,Pas vraiment,Cela dépend du type de commentaire,"Rarement, ça va","""Autre, complète ci-contre""",,Écrits,Je comprend mieux par moi même,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, Je me fais aider par une I.A.",Non,,,
2nde PRO,15-16 ans,AWAPXY,"Oui, souvent",La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Pas vraiment,"J'essaie de deviner ce que ça veut dire, ""Je laisse tomber, tant pis""",Parfois,"Pendant la correction collective devant toute la classe, Pendant des travaux en groupes, Pendant une discussion individuelle (juste avec moi)","Oui, toujours, c'est très clair",Pas vraiment,Je n'ai pas de préférence,Jamais,Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,Parce que c’est pareil,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils n'ont pas d'effet sur ma motivation,Parce que ,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A., Je révise avec des camarades",Non,,,
2nde PRO,13-14 ans,,"Oui, sur presque tous mes devoirs",La plupart du temps,Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Rarement,"Pendant la correction collective devant toute la classe, Pendant des travaux en groupes, Pendant une discussion individuelle (juste avec moi)",Parfois c'est un peu flou,"Oui, un peu",En privé (juste moi et le professeur),"Rarement, ça va","Le commentaire était trop négatif, Je n'ai pas compris et je n'ai pas osé demander",,Écrits,car c’est censé être ma copie ( individuelle),Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,,Souvent,"Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",,,,
2nde PRO,15-16 ans,,Parfois,La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Un peu,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Rarement,Pendant la correction collective devant toute la classe,La plupart du temps,Je ne sais pas,Je préfère éviter les commentaires oraux,"Souvent, je n'aime pas ça","J'ai eu l'impression d'être jugé(e) devant les autres, Je n'ai pas compris et je n'ai pas osé demander",,Un mélange des deux,Car j’ai du mal a comprendre quelques détails dans les deux cas.,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,"Parfois ça m'encourage, parfois ça me décourage",,Souvent,Je relis le cours,,,,
2nde PRO,15-16 ans,KR3LGM,Parfois,"Parfois, ça dépend de la matière ou de la note",Être encouragé(e),,Un peu,Je demande des explications au professeur,"Oui, souvent","Pendant la correction collective devant toute la classe, Pendant une discussion individuelle (juste avec moi)",La plupart du temps,Pas vraiment,Je n'ai pas de préférence,"Rarement, ça va",Je n'ai pas compris et je n'ai pas osé demander,,Écrits,je trouve ça mieux ,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",,,,
2nde PRO,15-16 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Je ne sais pas,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Parfois,Pendant une discussion individuelle (juste avec moi),"Oui, toujours, c'est très clair","Oui, un peu",Cela dépend du type de commentaire,"Parfois, selon ce qui est dit","Les autres élèves se sont moqués, Le commentaire était trop négatif",,Un mélange des deux,Je peux l’interpréter différemment si je le lis ,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A., Je révise avec des camarades",Motivé au lieu de rabaisser ,,,
2nde,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, J'essaie de deviner ce que ça veut dire",Rarement,"Pendant la correction collective devant toute la classe, Pendant une discussion individuelle (juste avec moi)",La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,Jamais,Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je relis le cours, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",,,,
2nde,15-16 ans,vanuxem,"Oui, sur presque tous mes devoirs","Parfois, ça dépend de la matière ou de la note",Savoir ce que je dois améliorer,,"Oui, beaucoup",Je demande des explications au professeur,Parfois,Pendant une discussion individuelle (juste avec moi),"Oui, toujours, c'est très clair","Oui, beaucoup, c'est plus clair qu'à l'écrit",En privé (juste moi et le professeur),"Souvent, je n'aime pas ça","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués, Le commentaire était trop négatif",,Oraux,car c'est plus clair a l'oral,Oui,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,car j'ai envie d'avoir un meilleur commentaire a chaque fois,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A., Je révise avec des camarades",non,,,
2nde,15-16 ans,,Parfois,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Un peu,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Rarement,"Pendant la correction collective devant toute la classe, Pendant des travaux en groupes",La plupart du temps,"Oui, un peu",Je n'ai pas de préférence,"Rarement, ça va",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,Parce que c est privé ,Non,Des exemples pour mieux comprendre,,Ils m'encouragent souvent,,"Jamais, j'ose toujours demander","Je relis le cours, Je refais des exercices",non,,,
2nde,15-16 ans,,"Oui, souvent",La plupart du temps,Savoir ce que je dois améliorer,,Un peu,Je demande des explications au professeur,Parfois,Pendant la correction collective devant toute la classe,La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,Jamais,Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,cela ne change rien au commentaire les  deux sont les memes,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des encouragements pour me motiver",,Ils m'encouragent souvent,,"Jamais, j'ose toujours demander","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",,,,
2nde,15-16 ans,,Parfois,La plupart du temps,Savoir ce que j’ai bien fait,,Un peu,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire, ""Je laisse tomber, tant pis""",Parfois,Pendant la correction collective devant toute la classe,La plupart du temps,"Oui, un peu",Je n'ai pas de préférence,Jamais,Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils n'ont pas d'effet sur ma motivation,,"Jamais, j'ose toujours demander","Je relis le cours, Rien de tout cela suivre le cours me suffit",,,,
2nde,15-16 ans,Mahmoud,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,être encouragé,Un peu,Je demande des explications au professeur,Parfois,Pendant la correction collective devant toute la classe,Parfois c'est un peu flou,Pas vraiment,En privé (juste moi et le professeur),"Rarement, ça va",Le commentaire était trop négatif,,Écrits,Les paroles s'envole mais les écrits restent.,Je ne sais pas,"Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",J'ai eu une mauvaise expérience avec un professeurs en 3éme ,"Jamais, j'ose toujours demander","Je relis le cours, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A.",,,,
2nde,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Parfois,Pendant une discussion individuelle (juste avec moi),La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,Jamais,Cela ne m'est jamais arrivé,,Écrits,C'est plus compréhensible ,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent souvent,,"Jamais, j'ose toujours demander","Je relis le cours, Je refais des exercices, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",,,,
2nde,15-16 ans,,"Oui, souvent",La plupart du temps,Savoir ce que je dois améliorer,,Un peu,"J'essaie de deviner ce que ça veut dire, ""Je laisse tomber, tant pis""",Parfois,Je ne m’en souviens pas,Parfois c'est un peu flou,"Oui, un peu",Cela dépend du type de commentaire,"Parfois, selon ce qui est dit",J'ai eu l'impression d'être jugé(e) devant les autres,,Je n'ai pas de préférence,,Je ne sais pas,Des exemples pour mieux comprendre,,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je fais des fiches de révision",,,,
2nde,15-16 ans,,"Oui, souvent","Parfois, ça dépend de la matière ou de la note",Savoir ce que je dois améliorer,,Un peu,"Je demande à un camarade, J'essaie de deviner ce que ça veut dire",Rarement,"Pendant la correction collective devant toute la classe, Pendant des travaux en groupes",Parfois c'est un peu flou,"Oui, un peu",Je n'ai pas de préférence,"Rarement, ça va",Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,parce que dans tous les cas ca va m'aider pour progresser,Je ne sais pas,"Ce que je dois corriger précisément, Des conseils concrets pour progresser",,"Parfois ça m'encourage, parfois ça me décourage",ca depend des matieres,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision, Je révise avec des camarades",non ,,,
2nde,15-16 ans,,"Oui, souvent","Parfois, ça dépend de la matière ou de la note",Être encouragé(e),,Un peu,"Je demande à mes parents, J'essaie de deviner ce que ça veut dire, ""Je laisse tomber, tant pis"", J'ai peur de poser la question",Parfois,"Pendant la correction collective devant toute la classe, Pendant des travaux en groupes, Pendant une discussion individuelle (juste avec moi)",La plupart du temps,Je ne sais pas,En privé (juste moi et le professeur),"Souvent, je n'aime pas ça",J'ai eu l'impression d'être jugé(e) devant les autres,,Je n'ai pas de préférence,,Non,"""Ce que j'ai bien fait, mes points forts"", Des encouragements pour me motiver",,"Parfois ça m'encourage, parfois ça me décourage",Cela dépend la matière,"Toujours, je n'ose pas poser de questions","Je relis le cours, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A.",Non,,,
2nde,13-14 ans,,"Oui, sur presque tous mes devoirs",La plupart du temps,Savoir ce que je dois améliorer,,Pas vraiment,"Je demande à un camarade, J'essaie de deviner ce que ça veut dire","Oui, souvent",Pendant la correction collective devant toute la classe,Parfois c'est un peu flou,Pas vraiment,En privé (juste moi et le professeur),"Souvent, je n'aime pas ça","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués, Le commentaire était trop négatif",,Écrits,je peux les relires,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision, Je révise avec des camarades",,,,
2nde,13-14 ans,,Parfois,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Pas vraiment,"Je demande des explications au professeur, Je demande à un camarade",Parfois,Pendant la correction collective devant toute la classe,"Oui, toujours, c'est très clair",Pas vraiment,En privé (juste moi et le professeur),"Rarement, ça va",Cela ne m'est jamais arrivé,,Écrits,,Non,Des conseils concrets pour progresser,,Ils n'ont pas d'effet sur ma motivation,,Souvent,"Je relis le cours, Je refais des exercices, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",,,,
2nde,15-16 ans,,Parfois,Je regarde juste le résultat (note ou compétences),Comprendre pourquoi j'ai eu cette note,rien,Pas du tout,Je demande des explications au professeur,Parfois,Pendant la correction collective devant toute la classe,La plupart du temps,Pas du tout,Cela dépend du type de commentaire,Jamais,Cela ne m'est jamais arrivé,rien,Écrits,parce je veux aucun commentaire que sa soit a l ecrit ou a l oral,Non,"""Autre, complète ci-dessous.""",rien,Ils n'ont pas d'effet sur ma motivation,parce que,"Jamais, j'ose toujours demander",Je ne prépare pas vraiment,,,,
2nde,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, Je demande à un camarade",Rarement,Pendant une discussion individuelle (juste avec moi),La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Toujours, je suis gêné",Cela ne m'est jamais arrivé,,Écrits,car c'est plus personnel,Je ne sais pas,"Des conseils concrets pour progresser, Des encouragements pour me motiver",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",non,,,
2nde,15-16 ans,,Parfois,Je regarde juste le résultat (note ou compétences),Comprendre pourquoi j'ai eu cette note,,Pas vraiment,"Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire","Oui, souvent","Pendant la correction collective devant toute la classe, Pendant des travaux en groupes, Pendant une discussion individuelle (juste avec moi), Pendant les pauses ou récréations",La plupart du temps,Pas vraiment,Cela dépend du type de commentaire,"Rarement, ça va",Le commentaire était trop négatif,,Je n'ai pas de préférence,AUCUNE PREFERENCE,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils me découragent souvent,CES NEGATIF,"Jamais, j'ose toujours demander","Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A., Je révise avec des camarades",NON,,,
Terminale,17-18 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Je ne sais pas,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents","Oui, souvent",Pendant la correction collective devant toute la classe,"Oui, toujours, c'est très clair","Oui, beaucoup, c'est plus clair qu'à l'écrit",En privé (juste moi et le professeur),"Toujours, je suis gêné",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,Les oraux m'angoisse,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des encouragements pour me motiver",,Ils n'ont pas d'effet sur ma motivation,Je ne sais pas,"Jamais, j'ose toujours demander",Je fais des fiches de révision,,,,
Terminale,15-16 ans,,Parfois,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Je ne sais pas,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Parfois,"Pendant la correction collective devant toute la classe, Pendant des travaux en groupes, Pendant une discussion individuelle (juste avec moi), Pendant les pauses ou récréations",La plupart du temps,Pas vraiment,Cela dépend du type de commentaire,"Parfois, selon ce qui est dit",J'ai eu l'impression d'être jugé(e) devant les autres,,Un mélange des deux,,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je relis le cours, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",Ils faut réussir à être moins sec quand certains parlent ,,,
Post-BAC,Plus de 18 ans,,"Oui, souvent",La plupart du temps,Savoir ce que je dois améliorer,,Je ne sais pas,"Je demande des explications au professeur, Je demande à un camarade, J'essaie de deviner ce que ça veut dire","Oui, souvent",Pendant des travaux en groupes,La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Souvent, je n'aime pas ça",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,Ça ne regarde que moi pas les autres ,Non,"Ce que je dois corriger précisément, Des conseils concrets pour progresser",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je révise avec des camarades",Non ,,,
Post-BAC,Plus de 18 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, J'essaie de deviner ce que ça veut dire","Oui, souvent",Pendant une discussion individuelle (juste avec moi),La plupart du temps,"Oui, un peu",Je n'ai pas de préférence,Jamais,Cela ne m'est jamais arrivé,,Un mélange des deux,Les commentaires écrits sont souvent généraux alors que les commentaires oraux peuvent apporter une touche personnelle propre à mon travail.,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils m'encouragent souvent,,"Jamais, j'ose toujours demander","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je révise avec des camarades",Non. ,,,
