,UAI,Nom_etab,Adresse,Code postal,Nom_commune,Contrat,Type_etab,Code_departement,Departement,Mail_etab,Telephone,latitude,longitude,Discipline,Niveaux_enseignement,Niveau_enseignement_autre,Temps_enseignement,Freq_eval,grille,Freq_comm_ecrit,Difficultes_comm_ecrit,Diffcultes_autres,Trace_comm_ecrit,Lecture_comm_ecrit,Freq_comm_oral,Moment_comm_oral,Moment_autre,Objectif_comm_oral,Objectif_autre,Comprehension_comm_oral,Impact_comm_oral,Questions_comm_oral,Avantages_comm_oral,Inconveniants_oral,Inconveniant_autre,Eleve_mal_a_l_aise,Preoccupation_IA,Commentaire_libre,Créé à
10,0410768M - Collège Jean Emond,Collège Jean Emond,16 avenue Aristide Briand,41100,Vendôme,Public,COLLEGE,41,Loir-et-Cher,ce.0410768M@ac-orleans-tours.fr,02 54 73 33 66,47.80471586350063,1.0596206260786385,Mathématiques,Collège,aucun,11-20 ans,"Une fois par semaine, À la fin de chaque séquence/chapitre","Parfois, selon le type de travail","Oui, sur la plupart des travaux","Difficulté à formuler des remarques constructives, Répétitivité des commentaires",,Jamais,Je ne sais pas comment le mesurer,Parfois,Pendant une activité en classe (feedback immédiat),,"Encourager et motiver l'élève, Corriger des erreurs spécifiques",,"Oui, dans la plupart des cas","Oui, mais difficile à quantifier","Oui, mais ils le font rarement","Plus rapide à formuler, Plus direct et personnalisé, Meilleure réceptivité des élèves","Difficulté à individualiser dans un grand groupe, Manque de temps en classe",,Jamais,Coût financier pour l'établissement,,
11,0451067R - Lycée professionnel Jean Lurçat - Lycée des métiers de l'industrie et des services,Lycée professionnel Jean Lurçat - Lycée des métiers de l'industrie et des services,4 rue du Perron,45401,Fleury-les-Aubrais,Public,LP LYCEE DES METIERS,45,Loiret,ce.0451067R@ac-orleans-tours.fr,02 38 70 97 00,47.92925470000184,1.9253495411791304,Économie et Gestion comptable,Lycée professionnel,BTS,11-20 ans,"Plusieurs fois par semaine, Une fois par mois, À la fin de chaque séquence/chapitre","Souvent, pour la plupart des travaux","Oui, sur la plupart des travaux","Manque de temps, Difficulté à formuler des remarques constructives, Difficulté à personnaliser selon chaque élève, Manque d'impact perçu sur les élèves, Répétitivité des commentaires, Difficulté à être à la fois bienveillant(e) et précis",,Jamais,Rarement,Parfois,"Pendant une activité en classe (feedback immédiat), En correction collective, Pendant les récréations/pauses",,"Expliquer et justifier une note, Encourager et motiver l'élève, Donner des pistes concrètes de progression, Corriger des erreurs spécifiques, Créer un dialogue avec l'élève",,Cela dépend beaucoup des élèves,"Oui, mais difficile à quantifier","Parfois, selon le contexte","Plus direct et personnalisé, Permet l'interaction et le dialogue, Meilleure réceptivité des élèves, Plus authentique et chaleureux","Difficulté à individualiser dans un grand groupe, Manque de temps en classe, Absence de trace écrite pour le suivi",,Jamais,Aucune préoccupation particulière,,
12,0410001D - Lycée polyvalent international Robert Badinter,Lycée polyvalent international Robert Badinter,13 avenue de Chateaudun,41018,Blois,Public,LYCEE POLYVALENT,41,Loir-et-Cher,ce.0410001D@ac-orleans-tours.fr,02 54 56 29 00,47.5969091660175,1.3300701619500217,Anglais,"Collège, Lycée général",non,11-20 ans,"Une fois par mois, À la fin de chaque séquence/chapitre","Toujours, pour tous les travaux","Oui, sur tous les travaux","Manque d'impact perçu sur les élèves, Répétitivité des commentaires",,"Toujours (cahier, fichier numérique...)","Oui, la plupart du temps","Oui, régulièrement","Pendant une activité en classe (feedback immédiat), Juste après une évaluation, Lors de travaux de groupes, En correction collective",,"Encourager et motiver l'élève, Donner des pistes concrètes de progression, Corriger des erreurs spécifiques, Créer un dialogue avec l'élève",,"Oui, dans la plupart des cas","Oui, un impact clair et mesurable","Parfois, selon le contexte","Plus direct et personnalisé, Permet l'interaction et le dialogue, Plus authentique et chaleureux","Les élèves oublient facilement ce qui est dit, Difficulté à individualiser dans un grand groupe, Manque de temps en classe, Absence de trace écrite pour le suivi",,Jamais,"Complexité d'utilisation, Coût financier pour l'établissement, Fiabilité des suggestions de l'IA, Acceptation par les parents et l'institution",,
13,0451067R - Lycée professionnel Jean Lurçat - Lycée des métiers de l'industrie et des services,Lycée professionnel Jean Lurçat - Lycée des métiers de l'industrie et des services,4 rue du Perron,45401,Fleury-les-Aubrais,Public,LP LYCEE DES METIERS,45,Loiret,ce.0451067R@ac-orleans-tours.fr,02 38 70 97 00,47.92925470000184,1.9253495411791304,Arts Appliqués option design,Lycée professionnel,"1er bac pro, CAP, Term bac pro",5-10 ans,Une fois par mois,"Toujours, pour tous les travaux","Parfois, selon le type d'activité","Manque de temps, Difficulté à formuler des remarques constructives, Difficulté à personnaliser selon chaque élève",,Jamais,"Oui, la plupart du temps","Oui, très fréquemment","Pendant une activité en classe (feedback immédiat), Juste après une évaluation, Lors de travaux de groupes, En correction collective, Lors de la remise des copies",,"Encourager et motiver l'élève, Donner des pistes concrètes de progression, Corriger des erreurs spécifiques, Créer un dialogue avec l'élève",,"Oui, dans la plupart des cas","Oui, mais difficile à quantifier","Oui, ils posent souvent des questions","Plus rapide à formuler, Plus direct et personnalisé, Meilleure réceptivité des élèves, Plus authentique et chaleureux","Les élèves oublient facilement ce qui est dit, Absence de trace écrite pour le suivi, Certains élèves sont mal à l'aise avec l'oral",,Parfois,"Confidentialité et protection des données élèves, Coût financier pour l'établissement, Acceptation par les parents et l'institution",,
14,0370039S - Lycée général et technologique Paul-Louis Courier,Lycée général et technologique Paul-Louis Courier,2 place Grégoire de Tours,37012,Tours,Public,LYCEE GENERAL ET TECHNOLOGIQUE,37,Indre-et-Loire,ce.0370039S@ac-orleans-tours.fr,02 47 60 35 05,47.39588827262477,0.695229816982135,Sciences Économiques et Sociales,Lycée général,non,11-20 ans,Une fois par mois,"Souvent, pour la plupart des travaux","Oui, sur tous les travaux","Manque de temps, Difficulté à formuler des remarques constructives, Difficulté à être à la fois bienveillant(e) et précis",,Jamais,"Parfois, selon les élèves",Jamais,"Pendant une activité en classe (feedback immédiat), Juste après une évaluation, Lors de la remise des copies",,"Expliquer et justifier une note, Encourager et motiver l'élève, Corriger des erreurs spécifiques",,"Oui, dans la plupart des cas","Oui, mais difficile à quantifier","Oui, ils posent souvent des questions","Plus rapide à formuler, Plus direct et personnalisé, Meilleure réceptivité des élèves","Difficulté à individualiser dans un grand groupe, Manque de temps en classe, Absence de trace écrite pour le suivi",,Rarement,"Fiabilité des suggestions de l'IA, Acceptation par les parents et l'institution",Appréciations écrites : un temps infini si l'on veut vraiment expliquer l'erreur et la piste d'amélioration pour l'élève.,
15,0371417P - Lycée général et technologique Jean Monnet,Lycée général et technologique Jean Monnet,45 rue de la Gitonnière,37306,Joué-lès-Tours,Public,LYCEE GENERAL ET TECHNOLOGIQUE,37,Indre-et-Loire,ce.0371417P@ac-orleans-tours.fr,02 47 67 44 67,47.33883841109669,0.6589996608922724,Éducation Physique et Sportive,Lycée général,1ere et terminale ,11-20 ans,À la fin de chaque séquence/chapitre,"Toujours, pour tous les travaux","Oui, sur tous les travaux",Difficulté à formuler des remarques constructives,Écriture peu lisible ,"Toujours (cahier, fichier numérique...)",Rarement,"Oui, régulièrement",Lors de la remise des copies,,"Expliquer et justifier une note, Donner des pistes concrètes de progression",,Cela dépend beaucoup des élèves,"Oui, mais difficile à quantifier","Parfois, selon le contexte",Plus rapide à formuler,Absence de trace écrite pour le suivi,,Rarement,Perte d'authenticité dans la relation pédagogique,,
16,0180024D - Lycée général et technologique Jean Moulin,Lycée général et technologique Jean Moulin,45 rue Jean Moulin,18206,Saint-Amand-Montrond,Public,LYCEE GENERAL ET TECHNOLOGIQUE,18,Cher,ce.0180024D@ac-orleans-tours.fr,02 58 40 02 00,46.733733729909645,2.514710037304128,Économie et Gestion commerciale,Lycée général,BTS,Plus de 20 ans,"Plusieurs fois par semaine, Une fois par semaine","Souvent, pour la plupart des travaux","Oui, sur tous les travaux",Manque d'impact perçu sur les élèves,,Parfois,"Parfois, selon les élèves",Parfois,"Pendant une activité en classe (feedback immédiat), Lors de travaux de groupes, Lors de la remise des copies",,"Encourager et motiver l'élève, Donner des pistes concrètes de progression, Corriger des erreurs spécifiques",,"Oui, dans la plupart des cas","Oui, mais difficile à quantifier","Oui, mais ils le font rarement","Plus rapide à formuler, Plus direct et personnalisé, Permet l'interaction et le dialogue, Meilleure réceptivité des élèves, Permet de s'adapter en temps réel aux réactions de l'élève","Manque de temps en classe, Absence de trace écrite pour le suivi, Difficulté à être équitable avec tous les élèves",,Jamais,"Confidentialité et protection des données élèves, Coût financier pour l'établissement",,
17,0180024D - Lycée général et technologique Jean Moulin,Lycée général et technologique Jean Moulin,45 rue Jean Moulin,18206,Saint-Amand-Montrond,Public,LYCEE GENERAL ET TECHNOLOGIQUE,18,Cher,ce.0180024D@ac-orleans-tours.fr,02 58 40 02 00,46.733733729909645,2.514710037304128,Économie et Gestion commerciale,Lycée général,BTS,Plus de 20 ans,À la fin de chaque séquence/chapitre,"Souvent, pour la plupart des travaux","Oui, sur la plupart des travaux","Difficulté à formuler des remarques constructives, Difficulté à personnaliser selon chaque élève, Manque d'impact perçu sur les élèves, Répétitivité des commentaires, Difficulté à être à la fois bienveillant(e) et précis",,Parfois,"Parfois, selon les élèves",Rarement,"Pendant une activité en classe (feedback immédiat), Lors d'entretiens individuels planifiés",,"Expliquer et justifier une note, Encourager et motiver l'élève, Donner des pistes concrètes de progression",,Je n'ai pas suffisamment de recul pour en juger,Je ne sais pas comment l'évaluer,"Oui, mais ils le font rarement","Plus rapide à formuler, Plus direct et personnalisé, Plus authentique et chaleureux","Manque de temps en classe, Certains élèves sont mal à l'aise avec l'oral",,Je n'y ai pas fait attention,"Complexité d'utilisation, Fiabilité des suggestions de l'IA",,
18,0370768J - Collège Georges Besse,Collège Georges Besse,17 rue des Prébendes,37600,Loches,Public,COLLEGE,37,Indre-et-Loire,ce.0370768J@ac-orleans-tours.fr,02 47 91 10 60,47.12797561842054,0.9821006220178128,Mathématiques,Collège,non,11-20 ans,À la fin de chaque séquence/chapitre,"Toujours, pour tous les travaux","Oui, sur la plupart des travaux","Manque de temps, Difficulté à personnaliser selon chaque élève, Manque d'impact perçu sur les élèves, Répétitivité des commentaires",,Jamais,Rarement,Jamais,"Pendant une activité en classe (feedback immédiat), Juste après une évaluation, Lors d'entretiens individuels planifiés, En correction collective, Pendant les récréations/pauses",,"Donner des pistes concrètes de progression, Corriger des erreurs spécifiques",,Cela dépend beaucoup des élèves,Peu ou pas d'impact visible,"Oui, mais ils le font rarement","Plus rapide à formuler, Plus direct et personnalisé, Meilleure réceptivité des élèves","Les élèves oublient facilement ce qui est dit, Difficulté à individualiser dans un grand groupe, Manque de temps en classe, Absence de trace écrite pour le suivi, Certains élèves sont mal à l'aise avec l'oral",,Rarement,"Perte d'authenticité dans la relation pédagogique, Confidentialité et protection des données élèves, Complexité d'utilisation, Coût financier pour l'établissement, Fiabilité des suggestions de l'IA",,
19,0280753S - Collège Nicolas Robert,Collège Nicolas Robert,3 rue Charles Péguy,28500,Vernouillet,Public,COLLEGE,28,Eure-et-Loir,ce.0280753S@ac-orleans-tours.fr,02 37 46 22 03,48.71656473574055,1.3612201450841552,Sciences et Vie de la Terre,Collège,6e 4e 3e,11-20 ans,"Une fois par mois, À la fin de chaque séquence/chapitre","Parfois, selon le type de travail",Rarement,"Manque de temps, Manque d'impact perçu sur les élèves, Répétitivité des commentaires, Difficulté à être à la fois bienveillant(e) et précis",,Jamais,Rarement,Parfois,"Pendant une activité en classe (feedback immédiat), En correction collective, Lors de la remise des copies",,Encourager et motiver l'élève,,Cela dépend beaucoup des élèves,Je ne sais pas comment l'évaluer,"Non, le temps manque généralement","Plus rapide à formuler, Plus direct et personnalisé, Meilleure réceptivité des élèves, Plus authentique et chaleureux","Manque de temps en classe, Absence de trace écrite pour le suivi, Difficulté à être équitable avec tous les élèves, Certains élèves sont mal à l'aise avec l'oral",,Je n'y ai pas fait attention,"Confidentialité et protection des données élèves, Coût financier pour l'établissement",,
20,0180024D - Lycée général et technologique Jean Moulin,Lycée général et technologique Jean Moulin,45 rue Jean Moulin,18206,Saint-Amand-Montrond,Public,LYCEE GENERAL ET TECHNOLOGIQUE,18,Cher,ce.0180024D@ac-orleans-tours.fr,02 58 40 02 00,46.733733729909645,2.514710037304128,Sciences Économiques et Sociales,Lycée général,formation continue de professeur,Plus de 20 ans,Une fois par semaine,"Souvent, pour la plupart des travaux","Oui, sur tous les travaux",Aucune difficulté particulière,,Parfois,"Parfois, selon les élèves","Oui, régulièrement","Pendant une activité en classe (feedback immédiat), Juste après une évaluation, Lors d'entretiens individuels planifiés, Lors de travaux de groupes, En correction collective, Lors de la remise des copies",,"Expliquer et justifier une note, Encourager et motiver l'élève, Donner des pistes concrètes de progression, Corriger des erreurs spécifiques",,Cela dépend beaucoup des élèves,"Oui, mais difficile à quantifier","Parfois, selon le contexte","Plus rapide à formuler, Plus direct et personnalisé, Permet l'interaction et le dialogue","Les élèves oublient facilement ce qui est dit, Difficulté à individualiser dans un grand groupe, Manque de temps en classe, Absence de trace écrite pour le suivi",,Rarement,"Perte d'authenticité dans la relation pédagogique, Fiabilité des suggestions de l'IA, Acceptation par les parents et l'institution",Les deux se complètent.,
21,0180591V - Collège Saint-Exupéry,Collège Saint-Exupéry,Rue Marguerite Audoux,18000,Bourges,Public,COLLEGE,18,Cher,ce.0180591V@ac-orleans-tours.fr,02 48 50 35 71,47.0778922607749,2.3801596509622702,Histoire-Géographie,Collège,UPE2A ,11-20 ans,À la fin de chaque séquence/chapitre,"Toujours, pour tous les travaux","Oui, sur tous les travaux","Manque de temps, Manque d'impact perçu sur les élèves, Répétitivité des commentaires",,Jamais,Rarement,"Oui, régulièrement","Pendant une activité en classe (feedback immédiat), Lors de travaux de groupes",,"Encourager et motiver l'élève, Donner des pistes concrètes de progression, Corriger des erreurs spécifiques",,"Non, ils semblent souvent oubliés",Peu ou pas d'impact visible,"Non, le temps manque généralement","Plus direct et personnalisé, Meilleure réceptivité des élèves, Plus authentique et chaleureux","Les élèves oublient facilement ce qui est dit, Difficulté à individualiser dans un grand groupe, Manque de temps en classe, Absence de trace écrite pour le suivi, Certains élèves sont mal à l'aise avec l'oral",,Rarement,"Confidentialité et protection des données élèves, Coût financier pour l'établissement, Fiabilité des suggestions de l'IA",,
